"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Marquez Valdes-Scantling","WR","GB","36","43","40","0","0","0","0","0","34","49","48","57","bye","43","41","0","49","15","455","41.4"
"Cameron Brate","TE","TB","0","21","33","50","28","44","40","37","bye","30","35","17","13","21","20","31","21","10","451","28.2"
"Corey Davis","WR","NYJ","58","53","51","50","45","bye","47","0","0","65","56","0","25","0","0","0","0","0","450","50.0"
"Michael Carter","RB","NYJ","16","33","23","31","29","bye","47","59","45","40","20","0","0","0","31","43","8","24","449","32.1"
"Will Dissly","TE","SEA","38","0","20","46","57","47","0","36","bye","32","25","16","33","42","26","0","28","0","446","34.3"
"Sammy Watkins","WR","BAL","56","70","46","53","20","0","0","bye","0","23","60","35","34","23","0","0","0","21","441","40.1"
"Elijah Mitchell","RB","SF","35","43","0","0","44","bye","37","36","39","36","0","49","49","0","0","0","36","37","441","40.1"
"Joshua Palmer","WR","LAC","14","18","0","0","16","29","bye","8","21","18","23","30","22","62","33","60","31","56","441","29.4"
"Rondale Moore","WR","ARI","20","28","23","33","29","42","37","36","57","18","32","bye","23","34","20","0","0","0","432","30.9"
"Taysom Hill","TE","NO","22","10","33","34","9","bye","0","0","17","21","0","0","70","70","61","0","58","26","431","35.9"
"Miles Sanders","RB","PHI","47","39","35","47","50","43","12","0","0","0","36","22","41","bye","35","19","0","0","426","35.5"
"Albert Okwuegbunam","TE","DEN","37","37","29","16","0","0","0","26","63","24","bye","28","33","38","30","14","30","16","421","30.1"
"Andy Dalton","QB","CHI","64","23","0","0","3","0","0","0","0","bye","29","70","76","0","0","0","65","82","412","51.5"
"Jerry Jeudy","WR","DEN","31","0","0","0","0","0","0","38","47","45","bye","35","56","41","52","31","0","36","412","41.2"
"Derrick Henry","RB","TEN","40","67","49","59","49","43","50","54","0","0","0","0","bye","0","0","0","0","0","411","51.4"
"MyCole Pruitt","TE","TEN","0","55","37","28","38","16","37","35","27","23","0","27","bye","33","27","27","0","0","410","31.5"
"Ty Johnson","RB","NYJ","35","33","31","20","22","bye","21","24","32","25","20","23","28","48","0","0","31","15","408","27.2"
"Damien Harris","RB","NE","40","25","22","36","21","26","35","41","24","0","25","22","13","bye","0","31","16","30","407","27.1"
"Antoine Wesley","WR","ARI","0","0","0","0","0","0","0","31","54","42","63","bye","0","0","64","50","44","57","405","50.6"
"Mark Ingram II","RB","Multi","36","19","19","10","26","33","21","22","26","57","47","0","30","0","30","24","0","0","400","28.6"
"Donald Parham Jr.","TE","LAC","41","34","31","39","40","26","bye","25","28","27","32","28","16","29","2","0","0","0","398","28.4"
"Anthony Firkser","TE","TEN","31","0","0","50","27","15","24","20","25","22","41","26","bye","30","17","16","29","23","396","26.4"
"Julio Jones","WR","TEN","50","66","34","0","0","35","29","0","43","0","0","0","bye","32","27","31","0","46","393","39.3"
"Marquise Goodwin","WR","CHI","26","31","10","29","24","29","35","30","32","bye","42","32","0","0","0","23","24","26","393","28.1"
