"Pick","Round","Team ID","Team Name","Player ID","Last Name","First Name","Avg. Pick","Avg. Round","Avg. Cost","% Drafted"
"77","8","406.l.12365.t.2","fernando's Team","406.p.100025","","San Francisco","92.3","9.9","$1.5","100%"
"78","8","406.l.12365.t.9","Iguanas","406.p.31104","Edmonds","Chase","78.8","8.6","$6.0","100%"
"79","8","406.l.12365.t.3","liam's Neat Team","406.p.30346","Butker","Harrison","84.8","9.2","$2.7","100%"
"80","8","406.l.12365.t.4","Clark N's Crazy Team","406.p.100007","","Denver","118.9","12.7","$1.1","95%"
"81","9","406.l.12365.t.4","Clark N's Crazy Team","406.p.30426","Koo","Younghoe","94.4","10.2","$1.6","100%"
"82","9","406.l.12365.t.3","liam's Neat Team","406.p.100005","","Cleveland","115.4","12.3","$1.2","97%"
"83","9","406.l.12365.t.9","Iguanas","406.p.30994","Moore","DJ","52.3","5.8","$9.5","100%"
"84","9","406.l.12365.t.2","fernando's Team","406.p.25881","Zuerlein","Greg","106.1","11.4","$1.1","97%"
"85","9","406.l.12365.t.6","Arab","406.p.31906","Singletary","Devin","118.2","12.7","$1.5","75%"
"86","9","406.l.12365.t.1","Scamdemic '21","406.p.31008","Jones II","Ronald","84.4","9.2","$3.7","100%"
"87","9","406.l.12365.t.7","Jorge's Slam-Dunk Team","406.p.32858","Bass","Tyler","105.3","11.2","$1.3","99%"
"88","9","406.l.12365.t.10","stroudsburgh eagles","406.p.28403","Gordon III","Melvin","92.3","9.9","$3.9","100%"
"89","9","406.l.12365.t.8","Amy's Official Team","406.p.9520","Succop","Ryan","116.7","12.4","$1.2","93%"
