"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"43","Ameer Abdullah (LV)","143","597","4.2","36","4","2","25","38","183","7.3","1","2","16","117.0","7.3","2.4%"
"44","Matt Jones (FA)","144","490","3.4","39","3","3","19","25","304","16.0","1","4","13","114.4","8.8","0.0%"
"45","Antonio Andrews (FA)","143","520","3.6","38","4","3","21","29","174","8.3","0","1","14","112.0","8.0","0.0%"
"46","Alfred Blue (FA)","183","698","3.8","41","2","2","15","16","109","7.3","1","1","16","111.7","7.0","0.0%"
"47","Le'Veon Bell (FA)","113","556","4.9","42","8","3","24","26","136","5.7","0","0","6","111.2","18.5","0.0%"
"48","Melvin Gordon III (DEN)","184","641","3.5","27","6","0","33","37","192","5.8","0","4","14","108.3","7.7","79.0%"
"49","Chris Johnson (FA)","196","814","4.2","62","6","3","6","13","58","9.7","0","2","11","107.2","9.7","0.6%"
"50","Joique Bell (FA)","90","311","3.5","36","2","4","22","27","286","13.0","0","0","13","105.7","8.1","0.2%"
"51","Jamaal Charles (FA)","71","364","5.1","34","2","4","21","30","177","8.4","1","2","5","101.1","20.2","0.1%"
"52","Kyle Juszczyk (SF)","2","3","1.5","2","0","0","41","56","321","7.8","4","0","16","97.4","6.1","0.3%"
"53","Alfred Morris (FA)","202","751","3.7","48","4","1","10","13","55","5.5","0","0","16","96.6","6.0","0.0%"
"54","Chris Thompson (FA)","35","216","6.2","42","3","0","35","48","240","6.9","2","0","13","92.6","7.1","0.0%"
"55","Dexter McCluster (FA)","55","247","4.5","44","2","1","31","41","260","8.4","1","2","11","91.7","8.3","0.0%"
"56","Tim Hightower (FA)","96","375","3.9","26","1","4","12","13","129","10.8","0","0","8","86.4","10.8","0.0%"
"57","Jonathan Grimes (FA)","56","282","5.0","37","2","1","26","31","173","6.7","1","0","14","85.5","6.1","0.0%"
"58","Jerick McKinnon (KC)","52","271","5.2","68","1","2","21","29","173","8.2","1","0","16","83.4","5.2","12.4%"
"59","Mike Tolbert (FA)","62","256","4.1","29","1","1","18","23","154","8.6","3","0","16","83.0","5.2","0.0%"
"60","Spencer Ware (FA)","72","403","5.6","52","4","6","6","6","5","0.8","0","0","11","82.8","7.5","0.0%"
"61","Marshawn Lynch (FA)","111","417","3.8","24","1","3","13","21","80","6.2","0","0","7","82.7","11.8","0.3%"
"62","Carlos Hyde (FA)","115","470","4.1","22","1","3","11","15","53","4.8","0","0","7","81.3","11.6","0.0%"
"63","C.J. Spiller (FA)","36","112","3.1","11","0","0","34","44","239","7.0","2","0","13","81.1","6.2","0.1%"
"64","Marcel Reece (FA)","10","36","3.6","12","0","0","30","37","269","9.0","3","0","15","78.5","5.2","0.0%"
"65","Shaun Draughn (FA)","78","273","3.5","30","1","1","27","35","176","6.5","0","0","11","77.9","7.1","0.0%"
"66","Fred Jackson (FA)","26","100","3.8","16","0","0","32","41","257","8.0","2","1","16","77.7","4.9","0.0%"
"67","Arian Foster (FA)","63","163","2.6","16","0","1","22","28","227","10.3","2","1","4","77.0","19.3","0.0%"
"68","Andre Ellington (FA)","45","289","6.4","63","2","3","15","24","148","9.9","0","1","10","74.7","7.5","0.1%"
"69","Joseph Randle (FA)","76","315","4.1","37","3","4","10","10","86","8.6","0","0","6","74.1","12.4","0.0%"
"70","Chris Polk (FA)","99","334","3.4","20","1","1","16","28","109","6.8","1","0","15","72.3","4.8","0.0%"
